"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
13814,y,2," ",1,51927.546875,272.1719971,272.17171515091,1.035923556009,64.016127297084%,2.9009323206533%,2.9999999999752E-6
13814,x,2," ",1,8395.3193359375,299.1607361,299.15880473825,6.4559749552052,10.349725023652%,0.46900450087604%,4.000000000004E-6
13814,b,2," ",1,15000.385742188,315.1835327,315.18154646688,6.3018699645014,18.492431492841%,0.83799652478343%,3.999999999893E-6
13814,y,3," ",1,21568.412109375,400.2676697,400.26667515091,2.4847161974497,26.589475110646%,1.2049193069696%,4.9999999999217E-6
13814,z,12," ",3,8635.1396484375,482.2437744,482.24130367193,5.1234269141402,10.645374800646%,0.4824020622389%,6.9999999999792E-6
13814,x,9," ",2,3234.8193359375,581.3005981,581.29990710256,1.188710728384,3.9878757779744%,0.18071317687478%,8.000000000008E-6
13814,y,4," ",1,1971.3885498047,586.340332,586.34598515091,-9.6413227893807,2.4303220150203%,0.11013161808819%,8.000000000008E-6
13814,z,16," ",3,7830.3579101563,633.6517944,633.64963133859,3.413655276883,9.6532422370144%,0.4374429317552%,9.0000000000368E-6
13814,y,16," ",3,12164.776367188,638.9945679,638.98920602822,8.3911773894437,14.996700582391%,0.67958521171897%,8.9999999999257E-6
13814,y,12," ",2,3038.21484375,730.8622437,730.86767930889,-7.4371997119148,3.7455023373543%,0.16972986724251%,1.0000000000066E-5
13814,y,15," ",2,4152.146484375,909.4510498,909.45378880889,-3.0117076069973,5.1187539927456%,0.23195965651151%,1.0999999999983E-5
13859,b,8," ",2,1618.7927246094,444.2252808,444.22775246688,-5.5639632265359,12.862636702646%,1.8525138966237%,1.0000000000288E-6
13859,b,9," ",2,8671.353515625,479.7481995,479.74630946688,3.9396511943404,68.901020060249%,9.9233228850272%,1.9999999999465E-6
13859,b,6," ",1,2980.8298339844,702.3731079,702.36818446688,7.0097610197767,23.685139328879%,3.4112018215668%,2.9999999999752E-6
13859,y,7," ",1,6261.46484375,842.4533691,842.45190915091,1.732976179563,49.752476822491%,7.1654946676799%,3.0000000000863E-6
13859,b,9," ",1,3024.2622070313,958.4876099,958.48534246688,2.3656419359356,24.030245176678%,3.4609049573726%,2.9999999999752E-6
13892,a,1," ",1,8098.2172851563,159.0917358,159.09167184731,0.4019864162555,13.778121320814%,1.6045716330249%,2.0000000000575E-6
13892,y,2," ",1,6603.0024414063,272.1721191,272.17171515091,1.4841699871584,11.234197048044%,1.3083114514221%,1.0000000000288E-6
13892,x,2," ",1,2823.4006347656,299.1562805,299.15880473825,-8.4377869179473,4.8036691426355%,0.55942541520999%,1.9999999999465E-6
