"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
1725,b,2," ",1,106612.890625,145.0613098,145.06076946688,3.7248742232692,36.722694511917%,2.5405521741504%,4.000000000004E-6
1725,a,3," ",1,3164.7919921875,174.0875397,174.08731884731,1.2686316985256,1.0901091682398%,0.075416013292113%,5.0000000000328E-6
1725,y,1," ",1,76062.765625,175.1195831,175.11895115091,3.6086847645463,26.199737099366%,1.8125521543187%,5.0000000000328E-6
1725,b,3," ",1,50394.68359375,202.0830231,202.08223346688,3.9074841336955,17.358394090893%,1.2008897068559%,5.9999999999505E-6
1725,y,2," ",1,6205.3129882813,262.1520386,262.15098015091,4.0375553447252,2.1374133266963%,0.14787068722405%,8.000000000008E-6
1725,y,3," ",1,32281.2578125,319.1735229,319.17244415091,3.3798315325121,11.119244231719%,0.76925237876088%,9.9999999999545E-6
1725,a,4," ",1,21126.068359375,337.151947,337.15064884731,3.8503639112985,7.2768513268065%,0.50342766795851%,1.0000000000066E-5
1725,z,4," ",1,3145.6225585938,360.1721191,360.17518408202,-8.509697931604,1.0835062776353%,0.074959211624808%,1.1999999999901E-5
1725,b,4," ",1,3423.82421875,365.1475525,365.14556346688,5.4472334325088,1.1793325376563%,0.081588671049636%,1.299999999993E-5
1725,y,4," ",1,290318.8125,376.1951599,376.19390815091,3.3274039370304,100%,6.9182074134726%,1.3000000000041E-5
1725,y,5," ",1,68456.46875,539.2592773,539.25723815091,3.7814032833856,23.57975639281%,1.6312964548462%,1.4999999999987E-5
1725,z,6," ",1,3995.4440917969,580.2544556,580.25997808202,-9.5172547265795,1.3762263827794%,0.095210195639612%,1.6000000000016E-5
1725,y,6," ",1,113619.15625,596.2803955,596.27870215091,2.8398617709265,39.135995105381%,2.7075093147168%,1.6000000000016E-5
1725,y,7," ",1,69427.5234375,653.3031616,653.30016615091,4.5851038255199,23.914235126427%,1.6544363873917%,1.7000000000045E-5
2089,a,1," ",1,2408.8981933594,110.0713882,110.07127184731,1.0570668353525,1.0427971296908%,0.25158140074321%,5.0000000000328E-6
2089,y,1," ",1,18240.310546875,147.1131744,147.11280115091,2.5371625586895,7.8961176256369%,1.9049883013007%,2.0000000000575E-6
2089,M,+2H," ",2,231003.53125,515.7689819,515.76943780889,-0.88393933541142,100%,24.125632261551%,1.0999999999983E-5
2089,b,8," ",1,20274.326171875,884.423645,884.42607446688,-2.7469417164929,8.7766304100059%,2.1174175776735%,5.9999999999505E-6
2136,b,1," ",1,150167.65625,129.1027527,129.10223646688,3.9986380959163,25.009641382218%,1.2337340956195%,4.000000000004E-6
2136,y,1," ",1,219612.40625,147.1134033,147.11280115091,4.0931114510051,36.575302968401%,1.8042721061091%,5.0000000000328E-6
2136,y,2," ",1,30287.501953125,218.1506195,218.14991515091,3.2287387805593,5.0442257748887%,0.24883336907452%,8.9999999999257E-6
2136,M,+2H," ",2,161002.984375,401.7271729,401.72450780889,6.6341262587859,26.814208873194%,1.3227540222725%,6.7000000000039E-5
2136,a,6," ",1,30670.13671875,628.3467407,628.34129984731,8.6590722150794,5.1079516031238%,0.25197698580471%,3.7000000000065E-5
2136,b,6," ",1,49240.47265625,656.3425293,656.33621446688,9.6213388531749,8.2007443771615%,0.40454550278987%,3.6999999999954E-5
2136,c,6," ",1,4010.8603515625,673.3657837,673.362763568,4.4851485178371,0.66798791118999%,0.032952070319676%,3.7999999999982E-5
2564,b,1," ",1,143401.421875,129.1027985,129.10223646688,4.3533956993694,29.345268330235%,1.248648606059%,2.9999999999752E-6
2564,y,1," ",1,208757.453125,147.1134644,147.11280115091,4.5084390060008,42.719544881707%,1.8177274635126%,4.000000000004E-6
2564,a,2," ",1,4100.6479492188,216.135498,216.13426184731,5.7193740616131,0.83914519691825%,0.035705840840224%,1.0000000000066E-5
2564,y,2," ",1,37111.76171875,218.1506805,218.14991515091,3.5083630011138,7.5944477509698%,0.32314567688808%,9.0000000000368E-6
2564,a,6," ",1,10977.275390625,628.3458252,628.34129984731,7.2020615104805,2.2463591201597%,0.09558314998283%,3.7000000000065E-5
2564,c,6," ",1,6759.0874023438,673.364502,673.362763568,2.5817168621506,1.3831608563978%,0.058853845051299%,3.7999999999982E-5
2918,b,1," ",1,84914.5234375,129.1026611,129.10223646688,3.2891228892303,12.613142839743%,2.1266680797991%,2.0000000000575E-6
2918,y,1," ",1,110560.984375,147.113266,147.11280115091,3.1598140159538,16.422649883336%,2.7689788133185%,3.0000000000863E-6
2918,y,2," ",1,8981.94140625,218.1502991,218.14991515091,1.7600240218535,1.3341711800175%,0.2249510132075%,6.0000000000615E-6
2918,M,+2H," ",2,174084.578125,401.7271423,401.72450780889,6.5579546550936,25.858399260794%,4.3599151299038%,3.400000000009E-5
2918,a,6," ",1,31409.099609375,628.3443604,628.34129984731,4.8708443831583,4.6654852880655%,0.78663492239524%,1.7999999999962E-5
2918,b,6," ",1,56785.0234375,656.3397217,656.33621446688,5.3436532126479,8.434806942095%,1.4221701054951%,1.8000000000074E-5
2918,c,6," ",1,13472.744140625,673.3641357,673.362763568,2.0377307378584,2.0012318200677%,0.33742231306587%,1.8999999999991E-5
3016,a,2," ",1,161284.40625,144.0773468,144.07675584731,4.1016518417219,4.5394559218924%,0.52520729377913%,5.0000000000328E-6
3016,b,2," ",1,1053106.625,172.0723724,172.07167046688,4.079306716224,29.640380098683%,3.4293413321049%,5.0000000000328E-6
3016,y,1," ",1,1522237.125,175.1196289,175.11895115091,3.8702212784896,42.844367240901%,4.9570200833434%,5.0000000000328E-6
3016,y,2," ",1,1857942.375,304.1626892,304.16154115091,3.7744715740729,52.293012776792%,6.0502122273294%,1.6000000000016E-5
3016,a,3," ",1,9446.1044921875,307.1426086,307.14008584731,8.2136875233668,0.26586683717835%,0.030760338785676%,1.6000000000016E-5
3016,b,3," ",1,35801.6015625,335.1364746,335.13500046688,4.3986247898724,1.0076596740184%,0.1165845025368%,1.7999999999962E-5
3016,z,3," ",1,25776.650390625,375.1720886,375.17484608202,-7.3498584667256,0.72550081550288%,0.083939204719928%,2.0999999999938E-5
3016,y,3," ",1,3552945.75,391.1950684,391.19357015091,3.8299430394347,100%,11.569829134065%,2.0999999999938E-5
